Time,Thrust,RemainingFuel,CurrentMass
187,4.7088e+06,250800,-298200
188,4.7088e+06,249200,-299800
189,4.7088e+06,247600,-301400
190,4.7088e+06,246000,-303000
191,4.7088e+06,244400,-304600
192,4.7088e+06,242800,-306200
193,4.7088e+06,241200,-307800
194,4.7088e+06,239600,-309400
195,4.7088e+06,238000,-311000
196,4.7088e+06,236400,-312600
197,4.7088e+06,234800,-314200
198,4.7088e+06,233200,-315800
199,4.7088e+06,231600,-317400
200,4.7088e+06,230000,-319000
201,4.7088e+06,228400,-320600
202,4.7088e+06,226800,-322200
203,4.7088e+06,225200,-323800
204,4.7088e+06,223600,-325400
205,4.7088e+06,222000,-327000
206,4.7088e+06,220400,-328600
207,4.7088e+06,218800,-330200
208,4.7088e+06,217200,-331800
209,4.7088e+06,215600,-333400
210,4.7088e+06,214000,-335000
211,4.7088e+06,212400,-336600
212,4.7088e+06,210800,-338200
213,4.7088e+06,209200,-339800
214,4.7088e+06,207600,-341400
215,4.7088e+06,206000,-343000
216,4.7088e+06,204400,-344600
217,4.7088e+06,202800,-346200
218,4.7088e+06,201200,-347800
219,4.7088e+06,199600,-349400
220,4.7088e+06,198000,-351000
221,4.7088e+06,196400,-352600
222,4.7088e+06,194800,-354200
223,4.7088e+06,193200,-355800
224,4.7088e+06,191600,-357400
225,4.7088e+06,190000,-359000
226,4.7088e+06,188400,-360600
227,4.7088e+06,186800,-362200
228,4.7088e+06,185200,-363800
229,4.7088e+06,183600,-365400
230,4.7088e+06,182000,-367000
231,4.7088e+06,180400,-368600
232,4.7088e+06,178800,-370200
233,4.7088e+06,177200,-371800
234,4.7088e+06,175600,-373400
235,4.7088e+06,174000,-375000
236,4.7088e+06,172400,-376600
237,4.7088e+06,170800,-378200
238,4.7088e+06,169200,-379800
239,4.7088e+06,167600,-381400
240,4.7088e+06,166000,-383000
241,4.7088e+06,164400,-384600
242,4.7088e+06,162800,-386200
243,4.7088e+06,161200,-387800
244,4.7088e+06,159600,-389400
245,4.7088e+06,158000,-391000
246,4.7088e+06,156400,-392600
247,4.7088e+06,154800,-394200
248,4.7088e+06,153200,-395800
249,4.7088e+06,151600,-397400
250,4.7088e+06,150000,-399000
251,4.7088e+06,148400,-400600
252,4.7088e+06,146800,-402200
253,4.7088e+06,145200,-403800
254,4.7088e+06,143600,-405400
255,4.7088e+06,142000,-407000
256,4.7088e+06,140400,-408600
257,4.7088e+06,138800,-410200
258,4.7088e+06,137200,-411800
259,4.7088e+06,135600,-413400
260,4.7088e+06,134000,-415000
261,4.7088e+06,132400,-416600
262,4.7088e+06,130800,-418200
263,4.7088e+06,129200,-419800
264,4.7088e+06,127600,-421400
265,4.7088e+06,126000,-423000
266,4.7088e+06,124400,-424600
267,4.7088e+06,122800,-426200
268,4.7088e+06,121200,-427800
269,4.7088e+06,119600,-429400
270,4.7088e+06,118000,-431000
271,4.7088e+06,116400,-432600
272,4.7088e+06,114800,-434200
273,4.7088e+06,113200,-435800
274,4.7088e+06,111600,-437400
275,4.7088e+06,110000,-439000
276,4.7088e+06,108400,-440600
277,4.7088e+06,106800,-442200
278,4.7088e+06,105200,-443800
279,4.7088e+06,103600,-445400
280,4.7088e+06,102000,-447000
281,4.7088e+06,100400,-448600
282,4.7088e+06,98800,-450200
283,4.7088e+06,97200,-451800
284,4.7088e+06,95600,-453400
285,4.7088e+06,94000,-455000
286,4.7088e+06,92400,-456600
287,4.7088e+06,90800,-458200
288,4.7088e+06,89200,-459800
289,4.7088e+06,87600,-461400
290,4.7088e+06,86000,-463000
291,4.7088e+06,84400,-464600
292,4.7088e+06,82800,-466200
293,4.7088e+06,81200,-467800
294,4.7088e+06,79600,-469400
295,4.7088e+06,78000,-471000
296,4.7088e+06,76400,-472600
297,4.7088e+06,74800,-474200
298,4.7088e+06,73200,-475800
299,4.7088e+06,71600,-477400
300,4.7088e+06,70000,-479000
301,4.7088e+06,68400,-480600
302,4.7088e+06,66800,-482200
303,4.7088e+06,65200,-483800
304,4.7088e+06,63600,-485400
305,4.7088e+06,62000,-487000
306,4.7088e+06,60400,-488600
307,4.7088e+06,58800,-490200
308,4.7088e+06,57200,-491800
309,4.7088e+06,55600,-493400
310,4.7088e+06,54000,-495000
311,4.7088e+06,52400,-496600
312,4.7088e+06,50800,-498200
313,4.7088e+06,49200,-499800
314,4.7088e+06,47600,-501400
315,4.7088e+06,46000,-503000
316,4.7088e+06,44400,-504600
317,4.7088e+06,42800,-506200
318,4.7088e+06,41200,-507800
319,4.7088e+06,39600,-509400
320,4.7088e+06,38000,-511000
321,4.7088e+06,36400,-512600
322,4.7088e+06,34800,-514200
323,4.7088e+06,33200,-515800
324,4.7088e+06,31600,-517400
325,4.7088e+06,30000,-519000
326,4.7088e+06,28400,-520600
327,4.7088e+06,26800,-522200
328,4.7088e+06,25200,-523800
329,4.7088e+06,23600,-525400
330,4.7088e+06,22000,-527000
331,4.7088e+06,20400,-528600
332,4.7088e+06,18800,-530200
333,4.7088e+06,17200,-531800
334,4.7088e+06,15600,-533400
335,4.7088e+06,14000,-535000
336,4.7088e+06,12400,-536600
337,4.7088e+06,10800,-538200
338,4.7088e+06,9200,-539800
339,4.7088e+06,7600,-541400
340,4.7088e+06,6000,-543000
341,4.7088e+06,4400,-544600
342,4.7088e+06,2800,-546200
343,4.7088e+06,1200,-547800
344,4.7088e+06,0,-549400
